alarm_id,device_id,start_timestamp,end_timestamp
12,25,5,38
10,25,7,45
2,24,13,53
35,17,13,86
35,32,13,14
25,11,16,24
32,26,16,68
10,32,17,184
25,19,17,87
27,14,17,104
32,10,18,70
35,21,19,100
9,32,19,21
10,25,20,52
7,25,20,34
18,25,24,31
27,13,25,146
32,13,26,126
27,26,28,74
2,11,28,58
20,27,28,161
37,25,29,33
24,0,29,114
30,19,30,100
12,32,32,34
11,30,32,64
25,32,32,72
37,0,33,107
7,1,33,61
32,26,34,75
10,27,34,130
37,3,34,45
18,3,35,59
9,13,35,92
7,25,36,66
35,11,37,65
27,26,38,84
32,25,39,75
27,14,43,231
27,26,43,87
2,27,44,97
7,21,44,94
10,13,50,133
37,10,50,91
32,20,55,106
27,13,61,176
18,25,63,67
10,2,66,185
25,11,70,77
9,2,79,167
26,31,81,209
18,10,84,119
2,11,84,151
37,10,94,128
13,24,95,131
33,0,97,176
37,25,98,273
33,18,99,128
12,7,136,236
2,27,138,243
18,10,139,167
18,29,144,222
32,31,157,163
15,18,157,195
12,29,164,262
31,11,168,216
18,31,169,329
17,29,169,368
12,25,172,256
2,2,186,258
32,26,200,227
24,0,201,311
9,26,203,248
12,11,203,208
32,29,218,222
32,2,227,367
32,26,228,264
7,25,230,265
38,2,241,333
32,24,242,292
24,30,245,287
7,25,245,316
23,2,247,355
32,25,249,293
7,1,250,254
7,20,250,281
32,13,250,366
37,27,251,339
27,16,253,280
24,28,254,287
7,10,254,299
22,30,254,279
7,25,260,289
37,0,262,335
7,25,264,269
24,0,265,357
27,30,265,313
11,30,267,302
37,10,272,308
27,13,273,400
37,10,274,317
25,2,275,395
24,27,276,373
37,30,277,308
27,5,278,450
37,10,279,312
7,25,280,314
7,10,281,330
22,30,288,317
25,13,289,371
27,0,293,415
37,27,294,365
37,27,294,351
24,27,296,400
11,30,298,332
37,30,303,346
21,2,312,387
24,30,312,359
25,32,313,354
24,30,314,368
7,25,314,365
37,14,315,391
10,10,316,350
13,12,317,403
6,4,317,327
1,10,319,361
32,24,319,341
10,30,319,349
12,2,321,441
29,15,321,477
33,12,321,405
37,30,322,367
22,30,323,346
37,23,326,418
7,10,327,370
27,27,332,407
0,2,333,421
37,10,333,372
25,32,334,369
27,34,334,421
24,27,336,462
24,27,336,437
0,11,336,341
27,2,337,458
37,30,339,381
25,19,339,458
27,30,340,369
37,27,341,403
27,13,344,431
27,2,344,396
37,3,345,364
1,1,349,405
7,25,350,379
1,29,354,369
7,10,356,397
37,23,357,480
27,26,357,402
27,26,358,400
7,29,359,445
1,10,362,395
27,0,363,427
24,0,364,468
7,25,366,391
32,2,368,477
37,0,370,456
32,12,372,479
33,12,372,441
32,2,374,432
24,27,374,496
24,30,376,414
16,12,376,460
9,2,379,428
1,2,379,467
27,2,380,433
9,2,381,439
27,17,382,384
7,3,383,392
11,30,384,417
12,21,396,469
27,2,397,509
37,17,398,443
5,12,399,465
32,1,400,419
37,14,405,477
32,27,406,500
32,30,411,455
27,26,415,457
27,26,415,455
27,11,423,462
32,10,428,482
28,15,430,467
30,26,430,470
27,19,431,525
7,10,443,491
2,22,449,492
9,26,454,494
32,8,472,514
1,11,485,537
2,13,488,530
24,14,488,489
12,11,500,533
37,25,500,535
7,25,512,595
9,19,524,643
0,15,537,568
29,11,549,738
28,19,576,643
2,19,587,671
2,9,590,647
2,11,591,666
2,26,617,646
2,5,639,651
7,33,655,762
10,31,660,731
28,11,703,813
15,18,722,926
2,34,731,852
3,20,735,820
3,20,740,865
18,31,745,751
27,27,755,832
27,11,755,760
2,11,755,755
18,31,758,763
32,5,764,830
27,26,765,811
2,19,768,831
27,11,768,770
25,19,769,841
27,11,770,770
2,11,770,821
32,20,777,815
25,5,781,800
25,32,787,1035
27,11,789,818
32,11,792,803
27,11,809,845
32,24,815,840
32,20,821,849
18,20,826,840
25,11,827,853
7,6,836,843
32,5,841,842
31,5,848,860
11,17,850,868
27,11,859,863
18,20,876,883
8,9,877,926
18,31,882,974
17,31,889,929
38,7,891,994
33,17,902,907
37,31,905,925
32,17,910,963
37,31,919,976
12,32,921,942
33,7,926,1027
32,18,926,951
25,34,927,982
15,18,928,971
24,17,930,949
7,20,939,955
10,17,943,1057
37,30,954,1002
2,19,954,1018
35,21,955,1018
27,32,966,971
27,11,975,1057
37,31,979,1025
7,31,985,1004
11,14,1034,1102
2,34,1075,1173
28,11,1110,1160
0,26,1207,1247
25,26,1229,1267
27,0,1231,1318
33,12,1234,1301
27,28,1240,1257
28,19,1248,1330
27,26,1250,1293
37,0,1259,1321
37,28,1266,1417
2,26,1290,1322
11,30,1321,1360
1,5,1351,1360
2,19,1356,1418
8,9,1464,1491
12,32,1477,1547
32,30,1495,1547
32,9,1497,1540
24,30,1506,1542
37,14,1506,1579
9,34,1512,1632
9,13,1517,1567
2,12,1529,1652
37,30,1534,1584
25,2,1543,1638
37,30,1553,1581
14,25,1554,1564
37,27,1558,1637
37,30,1594,1635
13,9,1594,1637
37,29,1616,1662
11,30,1622,1666
0,32,1624,1714
9,32,1625,1650
32,25,1636,1661
14,20,1641,1660
7,25,1643,1662
30,21,1648,1709
25,32,1649,1662
35,11,1658,1743
37,30,1660,1705
9,19,1670,1765
25,32,1692,1745
28,13,1696,1801
9,11,1702,1724
9,19,1702,1819
33,30,1702,1755
9,34,1703,1811
27,30,1713,1747
37,30,1716,1767
2,13,1732,1746
27,5,1741,1755
2,17,1769,1772
10,22,1797,1842
25,13,1804,1883
10,33,1882,1969
33,14,1893,1914
10,31,1898,1905
36,19,1911,2002
27,11,1925,1979
5,0,1947,2081
27,17,1990,2063
24,14,2020,2048
32,28,2027,2073
1,32,2044,2067
25,26,2053,2089
37,25,2055,2097
0,16,2055,2101
17,9,2061,2089
21,32,2066,2148
33,30,2068,2116
38,32,2070,2183
1,34,2071,2101
27,0,2079,2188
37,0,2081,2176
32,4,2087,2209
13,9,2104,2155
24,14,2112,2140
27,34,2119,2202
1,5,2120,2164
5,9,2123,2168
1,32,2140,2175
23,34,2153,2256
27,34,2159,2257
36,5,2161,2254
33,14,2162,2171
27,5,2168,2177
37,14,2168,2216
24,30,2172,2223
27,11,2174,2236
24,14,2175,2193
33,14,2182,2227
10,34,2184,2277
17,12,2190,2318
30,13,2192,2282
32,3,2200,2228
9,19,2202,2331
32,6,2204,2295
37,30,2210,2248
32,23,2212,2261
25,11,2214,2242
15,12,2214,2262
9,5,2215,2246
10,11,2215,2234
25,11,2217,2244
24,30,2218,2261
21,26,2219,2259
7,25,2227,2247
32,3,2229,2329
24,30,2230,2267
18,23,2230,2299
37,20,2231,2313
32,26,2239,2297
24,30,2244,2279
1,19,2245,2342
32,26,2246,2281
37,14,2249,2478
18,3,2252,2312
32,19,2254,2345
37,14,2256,2279
24,17,2258,2303
25,26,2261,2305
25,26,2261,2303
27,28,2263,2310
24,0,2263,2368
35,14,2264,2310
27,28,2265,2381
37,0,2266,2373
25,19,2270,2410
38,26,2271,2313
37,14,2271,2285
37,0,2274,2342
23,26,2276,2320
6,10,2281,2331
27,19,2286,2383
27,19,2287,2390
24,0,2289,2386
37,10,2291,2332
27,0,2292,2400
10,10,2293,2345
33,12,2294,2366
10,12,2301,2439
12,5,2302,2323
27,0,2303,2345
0,2,2306,2376
30,21,2306,2356
25,19,2307,2398
11,30,2307,2334
27,17,2308,2321
25,19,2308,2436
33,27,2308,2424
38,2,2312,2411
22,0,2314,2433
37,27,2314,2426
7,10,2315,2358
12,25,2319,2320
7,3,2321,2329
37,17,2324,2369
37,17,2335,2337
11,30,2336,2369
27,2,2336,2419
25,26,2338,2365
18,3,2339,2373
18,10,2339,2364
27,26,2339,2386
37,1,2340,2366
37,3,2343,2350
27,11,2344,2385
37,30,2344,2383
27,0,2347,2455
27,26,2348,2391
37,3,2350,2351
36,26,2350,2395
37,3,2350,2370
7,10,2350,2402
37,3,2352,2374
27,17,2357,2374
37,17,2360,2397
27,5,2362,2378
33,30,2369,2424
33,30,2371,2398
9,26,2373,2416
37,30,2376,2418
37,0,2376,2474
27,0,2378,2514
37,17,2386,2460
27,11,2406,2516
37,29,2408,2417
27,11,2417,2459
16,12,2438,2570
23,26,2439,2480
12,26,2440,2472
9,26,2441,2488
27,26,2448,2492
10,26,2450,2501
10,25,2451,2468
5,26,2460,2502
5,12,2460,2593
22,0,2467,2523
24,0,2474,2550
14,10,2476,2510
27,0,2478,2574
5,2,2481,2606
30,2,2485,2579
23,2,2486,2581
10,29,2489,2558
10,27,2492,2619
22,30,2493,2548
10,2,2501,2589
12,10,2503,2535
11,14,2506,2534
30,21,2509,2545
25,7,2509,2607
10,12,2513,2642
32,4,2514,2584
10,30,2516,2552
6,25,2528,2533
10,10,2529,2566
12,2,2532,2671
27,27,2536,2617
24,27,2539,2656
7,23,2540,2627
5,26,2542,2588
32,12,2542,2616
18,29,2542,2555
24,30,2542,2594
7,3,2546,2694
32,30,2548,2595
27,2,2549,2673
24,30,2555,2594
18,3,2556,2571
5,8,2557,2603
10,29,2560,2564
25,32,2569,2597
10,10,2572,2630
30,32,2574,2655
18,4,2575,2642
18,10,2575,2612
27,19,2577,2680
27,30,2578,2605
24,30,2580,2631
37,14,2582,2864
27,30,2589,2615
25,2,2589,2643
32,17,2593,2769
37,27,2595,2683
27,30,2615,2646
14,25,2624,2650
29,2,2625,2713
23,26,2635,2668
10,25,2638,2727
23,13,2639,2718
32,12,2641,2765
25,2,2642,2686
12,26,2643,2695
30,26,2643,2683
19,3,2647,2675
2,12,2648,2755
10,32,2650,2714
18,3,2650,2653
12,13,2650,2732
27,32,2650,2708
22,0,2651,2754
2,12,2651,2786
27,26,2652,2693
33,24,2654,2696
32,26,2655,2704
32,19,2658,2739
10,32,2660,2663
33,30,2664,2705
33,12,2665,2747
25,26,2671,2720
25,19,2672,2779
10,25,2673,2774
12,32,2676,2845
12,3,2677,2690
25,19,2680,2777
32,25,2683,2748
25,26,2686,2723
9,32,2689,2763
12,25,2690,2711
7,3,2691,2774
25,11,2692,2840
12,23,2693,2726
27,17,2694,2740
9,32,2698,2698
12,32,2700,2700
32,25,2700,2712
24,0,2702,2725
33,9,2707,2750
37,3,2709,2732
24,17,2709,2745
33,30,2710,2749
25,26,2712,2740
7,3,2720,2743
27,26,2725,2769
37,17,2730,2770
18,3,2738,2755
25,19,2738,2879
33,14,2740,2750
27,11,2743,2783
25,2,2755,2822
18,25,2770,2787
1,4,2791,2897
32,13,2811,2900
5,19,2814,2902
25,26,2824,2852
9,34,2828,2962
27,28,2835,2846
27,0,2838,2933
32,32,2838,2903
25,32,2854,2998
24,30,2857,2904
30,26,2860,2899
25,13,2874,2942
24,14,2874,2955
26,23,2875,3002
25,19,2940,3045
27,11,2943,2989
30,19,2948,2980
27,19,2949,3019
12,3,2951,3049
9,19,2965,3080
37,25,2966,3025
32,33,2967,3122
12,6,2968,3081
32,24,2974,3025
37,3,2979,2988
24,0,2982,3044
28,26,2983,3021
37,17,2985,3044
33,28,2989,2999
2,0,3004,3071
7,3,3005,3052
32,23,3006,3074
32,25,3008,3025
37,10,3010,3043
27,11,3016,3034
32,24,3023,3076
35,5,3027,3154
32,3,3029,3083
25,19,3030,3144
32,33,3030,3103
27,19,3032,3121
7,25,3033,3066
7,23,3034,3139
7,25,3034,3135
24,30,3039,3080
32,19,3039,3151
32,12,3043,3138
32,12,3044,3112
37,30,3051,3100
27,11,3054,3058
7,25,3059,3068
7,23,3060,3152
25,26,3062,3096
9,5,3063,3128
7,33,3065,3145
24,30,3067,3118
37,0,3070,3163
27,19,3070,3163
30,19,3074,3120
10,3,3074,3092
25,19,3075,3193
37,14,3076,3109
7,33,3076,3201
27,26,3082,3127
14,31,3084,3175
27,26,3084,3128
25,11,3090,3092
27,11,3098,3146
7,25,3098,3110
7,6,3100,3156
7,6,3106,3177
32,25,3107,3169
27,13,3108,3205
25,26,3108,3154
25,13,3109,3138
37,1,3111,3144
27,13,3112,3228
30,5,3113,3113
7,3,3113,3218
9,19,3114,3242
27,0,3114,3206
10,0,3117,3275
27,32,3118,3194
25,26,3120,3146
27,19,3122,3221
27,26,3122,3164
27,17,3123,3183
37,25,3128,3194
25,26,3129,3170
37,25,3131,3216
14,27,3131,3237
27,5,3137,3163
25,26,3143,3181
35,27,3146,3230
37,0,3146,3271
27,28,3159,3195
20,27,3159,3283
30,2,3163,3231
10,2,3174,3281
18,10,3182,3219
2,2,3191,3226
18,10,3195,3233
0,27,3199,3277
27,19,3218,3310
25,2,3222,3346
18,10,3227,3258
30,2,3232,3338
27,30,3237,3264
27,2,3241,3375
9,2,3248,3292
27,30,3248,3293
17,18,3250,3363
0,14,3252,3324
25,32,3254,3334
18,10,3256,3290
33,30,3276,3317
21,5,3280,3342
13,18,3282,3308
5,14,3284,3288
33,24,3287,3335
1,32,3287,3324
32,14,3290,3344
0,5,3291,3356
25,32,3295,3374
37,14,3296,3316
32,20,3298,3351
0,5,3308,3345
27,27,3309,3410
11,30,3309,3336
12,2,3313,3435
33,18,3314,3329
37,30,3317,3348
1,19,3317,3428
25,19,3321,3411
32,24,3330,3378
37,10,3330,3370
33,18,3333,3335
7,25,3333,3359
25,19,3334,3422
27,26,3339,3385
25,21,3341,3404
24,14,3342,3494
27,26,3344,3384
27,30,3354,3401
37,14,3357,3381
27,26,3359,3405
27,14,3364,3396
36,2,3367,3463
37,17,3368,3451
7,20,3373,3459
37,21,3373,3515
32,30,3373,3419
25,2,3376,3448
37,10,3377,3409
37,20,3377,3540
9,2,3387,3441
27,2,3390,3494
27,19,3395,3454
27,11,3398,3407
37,30,3404,3440
27,17,3405,3428
27,2,3405,3508
9,2,3405,3482
37,14,3413,3419
27,30,3416,3464
27,30,3426,3456
37,27,3427,3502
36,19,3427,3478
27,19,3431,3523
9,11,3443,3568
1,29,3455,3481
10,26,3463,3511
37,30,3483,3519
10,14,3497,3638
19,25,3508,3513
33,24,3553,3598
18,29,3654,3687
9,13,3655,3709
30,15,3686,3718
9,11,3691,3735
5,34,3699,3806
35,11,3851,3877
30,11,3855,3935
30,19,3864,3916
19,23,3907,3983
2,30,3909,3947
4,17,3916,3963
33,30,3917,3966
35,30,3920,3961
9,32,3926,3991
32,26,3972,4020
12,5,3985,4015
28,34,3991,4092
32,20,3993,4150
32,5,3994,4024
6,25,3997,4013
33,30,4000,4039
9,5,4007,4013
28,13,4009,4106
25,11,4011,4158
25,32,4012,4031
7,20,4021,4024
7,20,4022,4045
25,19,4023,4136
23,2,4024,4106
10,12,4038,4141
10,10,4044,4091
6,3,4048,4061
25,21,4049,4135
10,12,4050,4137
37,3,4051,4055
37,10,4061,4098
22,30,4064,4118
18,3,4065,4224
27,26,4066,4108
18,4,4068,4096
2,13,4074,4117
12,2,4075,4184
7,20,4077,4163
37,3,4086,4090
27,19,4088,4208
7,21,4088,4142
3,25,4088,4167
32,29,4090,4137
2,11,4090,4093
27,11,4091,4092
27,2,4095,4200
36,26,4101,4143
32,2,4102,4198
3,25,4104,4175
37,10,4114,4151
27,26,4115,4158
25,2,4115,4174
27,26,4117,4161
27,5,4117,4140
7,10,4120,4167
27,0,4122,4239
9,26,4123,4169
27,11,4124,4138
32,10,4124,4168
27,30,4125,4166
27,26,4129,4171
37,29,4131,4137
32,10,4132,4166
7,21,4133,4202
27,19,4136,4194
32,3,4143,4143
7,10,4145,4187
35,19,4148,4246
25,21,4149,4226
27,5,4152,4195
32,3,4152,4173
27,34,4153,4237
27,2,4156,4295
27,26,4157,4196
37,29,4158,4174
32,13,4161,4297
7,29,4161,4195
27,26,4164,4208
25,21,4165,4283
27,27,4165,4267
32,12,4172,4229
32,25,4174,4184
9,19,4176,4283
32,30,4178,4231
9,26,4179,4227
30,19,4179,4270
7,10,4179,4232
37,20,4183,4186
24,30,4188,4227
37,23,4191,4288
37,10,4198,4239
25,32,4207,4221
5,24,4208,4237
37,20,4213,4242
9,5,4217,4226
25,32,4235,4242
30,11,4245,4263
7,25,4266,4334
37,20,4267,4346
7,29,4277,4370
27,11,4309,4461
5,5,4329,4473
23,19,4380,4437
12,5,4381,4406
32,20,4384,4393
27,26,4385,4426
32,20,4387,4395
24,17,4394,4408
12,10,4394,4423
27,16,4396,4456
12,26,4397,4447
30,19,4412,4483
10,19,4417,4482
24,17,4422,4588
37,31,4423,4426
9,2,4423,4477
9,19,4425,4496
12,19,4428,4525
10,13,4433,4518
32,25,4434,4454
18,25,4448,4486
23,32,4452,4469
9,19,4459,4475
22,30,4460,4503
37,17,4473,4691
33,7,4498,4587
9,26,4499,4537
3,3,4503,4625
32,25,4504,4561
32,11,4505,4738
9,5,4506,4508
32,3,4511,4760
9,11,4512,4534
9,26,4517,4561
7,3,4518,4606
7,3,4522,4621
37,31,4536,4678
7,20,4540,4596
32,3,4544,4613
27,19,4545,4618
27,26,4548,4587
25,26,4548,4580
25,11,4550,4563
15,18,4551,4606
37,20,4551,4621
7,3,4563,4603
37,0,4565,4658
32,25,4566,4621
25,26,4573,4619
7,23,4574,4674
27,19,4574,4668
37,0,4575,4682
27,0,4577,4617
10,15,4577,4590
27,30,4583,4626
7,3,4584,4596
18,20,4584,4598
37,1,4590,4772
12,10,4595,4638
25,26,4597,4643
7,25,4598,4615
5,12,4598,4697
32,24,4603,4648
10,4,4604,4727
6,4,4605,4676
24,0,4606,4658
37,28,4608,4611
34,30,4609,4663
35,34,4611,4717
27,30,4611,4662
7,25,4613,4657
35,30,4614,4651
10,14,4614,4614
7,25,4615,4668
10,10,4617,4660
25,19,4617,4724
18,4,4618,4710
27,13,4619,4692
18,10,4619,4650
27,11,4619,4676
30,34,4621,4703
18,4,4622,4673
30,11,4622,4626
10,32,4625,4655
9,34,4625,4726
27,26,4629,4671
30,34,4629,4690
30,32,4630,4648
31,32,4631,4641
35,2,4637,4717
35,34,4638,4718
35,14,4638,4675
12,32,4640,4642
37,25,4640,4693
27,26,4649,4696
31,2,4652,4727
11,30,4653,4696
32,13,4663,4751
20,17,4665,4670
3,29,4667,4688
10,31,4670,4686
30,34,4671,4758
7,25,4675,4796
3,10,4675,4703
7,20,4678,4684
7,23,4681,4799
30,11,4682,4703
27,17,4682,4785
25,19,4683,4778
27,11,4684,4691
37,3,4685,4713
27,2,4687,4846
27,5,4687,4704
12,29,4689,4710
27,30,4689,4729
9,11,4693,4733
7,20,4694,4707
32,4,4696,4774
9,2,4704,4796
35,27,4709,4788
37,17,4712,4814
12,10,4716,4756
3,10,4724,4758
32,10,4724,4778
27,17,4731,4774
37,3,4738,4771
24,16,4742,4756
25,13,4751,4816
37,25,4757,4787
24,0,4757,4815
27,0,4757,4898
27,32,4764,4778
3,3,4774,4823
14,14,4781,4844
23,32,4781,4794
25,32,4785,4938
27,26,4787,4832
10,34,4789,4886
27,13,4797,4905
27,30,4805,4833
37,25,4811,4822
32,25,4811,4846
23,32,4812,4930
27,13,4813,4910
30,32,4813,4835
27,14,4814,4835
27,19,4815,4920
32,3,4818,4918
25,26,4822,4871
22,14,4825,4900
7,33,4830,4936
10,13,4832,4876
28,15,4833,4838
27,14,4835,5208
11,30,4838,4873
30,32,4839,4859
10,9,4843,4893
7,33,4843,4843
7,25,4847,4877
27,26,4850,4894
24,30,4854,4898
27,0,4856,4927
10,14,4864,4865
27,30,4865,4896
37,28,4865,5018
25,19,4867,4965
18,25,4868,4871
10,3,4870,4919
27,5,4870,4980
37,25,4871,4874
10,14,4873,4987
27,11,4875,4889
37,3,4879,4915
10,34,4881,4964
22,30,4886,4945
24,14,4889,4946
31,11,4891,4897
11,30,4892,4923
7,3,4894,4956
35,11,4896,4920
12,5,4897,4977
7,25,4897,4924
18,3,4898,4958
37,14,4898,4907
27,26,4898,4941
10,32,4900,4945
27,30,4900,4947
27,13,4904,4974
37,14,4905,5063
27,34,4906,4997
10,30,4907,4940
27,32,4913,4968
32,32,4914,4945
9,19,4915,5058
